adj_parameter,epoch,Test ACC,Test F1,Test AUC
1,0,0.5283018867924528,0.3340865508618719,0.598752503684037
1,50,0.689937106918239,0.6604686698904132,0.8055478036553254
1,100,0.7421383647798743,0.761413536270983,0.8553711382549377
1,150,0.7553459119496856,0.7716732106010812,0.8659242725737423
1,200,0.7672955974842767,0.7742866958270634,0.868932493878492
1,250,0.7849056603773585,0.7855177107503196,0.870462520461074
1,300,0.7761006289308177,0.7821884292434312,0.871897863931133
1,350,0.7761006289308177,0.7767997438813833,0.8727134969569879
1,400,0.7830188679245284,0.7869973304415729,0.8753712456335407
1,450,0.7867924528301887,0.7890797740608468,0.8739775696998454
1,500,0.7836477987421383,0.7900245404549583,0.8746408239069762
1,550,0.7911949685534592,0.7942147253395903,0.8745374869603413
1,600,0.7905660377358491,0.7922423970592901,0.8781654196369721
1,650,0.7905660377358491,0.7918705034050783,0.8739428353888334
1,700,0.7874213836477988,0.788673246402779,0.8733716867439143
1,750,0.789308176100629,0.7883341196244965,0.8711022712777775
1,800,0.789308176100629,0.7935560544132,0.8722852411704871
1,850,0.790566037735849,0.794984526593849,0.8726495380400877
1,900,0.7962264150943397,0.8008837813262825,0.8745583856659073
1,950,0.789937106918239,0.7896196566158483,0.8736583509707907
1,1000,0.7886792452830189,0.7900539420481109,0.8739408608285175
1,1050,0.7855345911949686,0.7898985011029183,0.869837220531531
1,1100,0.7930817610062894,0.797415165045058,0.8712515542067133
1,1150,0.7880503144654089,0.7909705223393417,0.8707892900163875
1,1200,0.7842767295597485,0.7866068197451614,0.8704318526218237
1,1250,0.7905660377358491,0.7947715752041903,0.8717264408329981
1,1300,0.790566037735849,0.7949782449459318,0.8708985724443775
1,1350,0.790566037735849,0.7975740642227593,0.8715556494828433
1,1400,0.789308176100629,0.7968771353623507,0.8676462893155275
1,1450,0.789308176100629,0.7938990841072946,0.8663455510702377
1,1500,0.7830188679245284,0.7868345918920523,0.8647870988435115
1,1550,0.789308176100629,0.794413084958449,0.8720420687566299
