Test ACC,Test F1,Test AUC,epoch,fold_idx,adj_parameter,repeat_idx
0.4811320754716981,0.0,0.7636363636363636,0,0,1,0
0.7924528301886793,0.7608695652173914,0.9019607843137256,50,0,1,0
0.8018867924528302,0.7835051546391752,0.8866310160427808,100,0,1,0
0.8301886792452831,0.82,0.9019607843137256,150,0,1,0
0.839622641509434,0.8440366972477065,0.9073083778966132,200,0,1,0
0.8113207547169812,0.803921568627451,0.8905525846702317,250,0,1,0
0.8207547169811321,0.8155339805825242,0.8962566844919786,300,0,1,0
0.839622641509434,0.8316831683168316,0.8923351158645275,350,0,1,0
0.7924528301886793,0.7924528301886793,0.8955436720142601,400,0,1,0
0.8301886792452831,0.82,0.8912655971479501,450,0,1,0
0.7735849056603774,0.7647058823529411,0.8937611408199643,500,0,1,0
0.8490566037735849,0.8490566037735849,0.8891265597147949,550,0,1,0
0.8207547169811321,0.8347826086956521,0.9115864527629234,600,0,1,0
0.8301886792452831,0.8363636363636363,0.896969696969697,650,0,1,0
0.8018867924528302,0.7920792079207921,0.8877005347593583,700,0,1,0
0.8207547169811321,0.819047619047619,0.8827094474153299,750,0,1,0
0.8113207547169812,0.8245614035087719,0.8983957219251337,800,0,1,0
0.8301886792452831,0.8269230769230769,0.8937611408199644,850,0,1,0
0.839622641509434,0.8411214953271028,0.8877005347593582,900,0,1,0
0.8207547169811321,0.8118811881188119,0.8926916221033867,950,0,1,0
0.8207547169811321,0.822429906542056,0.893048128342246,1000,0,1,0
0.8018867924528302,0.7878787878787878,0.8873440285204991,1050,0,1,0
0.7641509433962265,0.7899159663865546,0.8784313725490197,1100,0,1,0
0.8301886792452831,0.8301886792452831,0.8855614973262033,1150,0,1,0
0.839622641509434,0.8247422680412371,0.8809269162210338,1200,0,1,0
0.839622641509434,0.8349514563106796,0.8873440285204991,1250,0,1,0
0.839622641509434,0.8468468468468469,0.8919786096256683,1300,0,1,0
0.8490566037735849,0.8518518518518519,0.8983957219251337,1350,0,1,0
0.8301886792452831,0.8421052631578947,0.8887700534759359,1400,0,1,0
0.8207547169811321,0.8288288288288288,0.8802139037433154,1450,0,1,0
0.8113207547169812,0.8,0.8784313725490195,1500,0,1,0
0.8207547169811321,0.8080808080808081,0.893048128342246,1550,0,1,0
0.7924528301886793,0.8,0.8877005347593583,1600,0,1,0
0.8018867924528302,0.7920792079207921,0.8837789661319073,1650,0,1,0
0.8018867924528302,0.8,0.8919786096256683,1700,0,1,0
0.7924528301886793,0.7884615384615384,0.8698752228163993,1750,0,1,0
0.7924528301886793,0.7884615384615384,0.8869875222816399,1800,0,1,0
0.8301886792452831,0.8269230769230769,0.8880570409982175,1850,0,1,0
0.8207547169811321,0.8118811881188119,0.8866310160427807,1900,0,1,0
