adj_parameter,epoch,Test ACC,Test F1,Test AUC
1,0,0.4792452830188679,0.4186453811616345,0.44880005153245267
1,50,0.6069182389937107,0.6246601685229111,0.7108957854710024
1,100,0.7182389937106919,0.7421430272661584,0.8170900178253119
1,150,0.7584905660377359,0.7736615666646411,0.849513625022786
1,200,0.7754716981132076,0.7809091945737149,0.8585121576698239
1,250,0.7823899371069183,0.7881804238313089,0.863919040012097
1,300,0.7710691823899372,0.7742973377590928,0.8609328447722855
1,350,0.7779874213836478,0.7791742641059863,0.8644045619903865
1,400,0.7805031446540881,0.7883821550921664,0.8729671458581777
1,450,0.7867924528301887,0.791103324984208,0.8682644398709972
1,500,0.7836477987421383,0.7881540207651023,0.8697779011588076
1,550,0.7880503144654089,0.794850366399431,0.8719677745912076
1,600,0.7842767295597485,0.784811039777862,0.867756694928344
1,650,0.7943396226415095,0.7959917342974254,0.8692220183652198
1,700,0.7886792452830189,0.7916572277465248,0.8701925750594989
1,750,0.789308176100629,0.7922539082658357,0.8688324202673285
1,800,0.7880503144654089,0.7856844037988339,0.8679024626575254
1,850,0.7867924528301887,0.7904021898041983,0.8720270772657466
1,900,0.7836477987421383,0.7834624925105929,0.8675476211348921
1,950,0.7842767295597485,0.791038523220904,0.8672394735340734
1,1000,0.7849056603773585,0.7856569117724956,0.8680094734366672
1,1050,0.7930817610062894,0.797467895267811,0.8682480237002898
1,1100,0.7849056603773585,0.7915689891272267,0.8679565422791075
1,1150,0.7955974842767296,0.8003652232790496,0.8665098206197531
1,1200,0.789308176100629,0.7948651232290004,0.8659600938901806
1,1250,0.7930817610062894,0.7979418013247321,0.8649253535492687
1,1300,0.789937106918239,0.7942537546001297,0.8660685061572235
1,1350,0.7867924528301887,0.7918205166516366,0.8607390755606763
1,1400,0.7949685534591195,0.7980161671642533,0.8654300376219374
1,1450,0.7855345911949686,0.792464794682031,0.8640430006080922
1,1500,0.7849056603773585,0.7915833944351227,0.8637507661451731
1,1550,0.7861635220125787,0.7918223761302954,0.8608251247841411
1,1600,0.7779874213836478,0.7877995289145013,0.8618129905381593
1,1650,0.7823899371069183,0.7909232489849833,0.8626233147009424
1,1700,0.7867924528301887,0.7947575909688532,0.8628566412158505
