Test ACC,Test F1,Test AUC,epoch,adj_parameter,repeat_idx
0.4716981132075472,0.06666666666666667,0.44171122994652406,0,5,0
0.7452830188679245,0.784,0.8606060606060606,50,5,0
0.7169811320754716,0.7619047619047619,0.8748663101604278,100,5,0
0.8018867924528302,0.8173913043478261,0.8909090909090909,150,5,0
0.8018867924528302,0.8108108108108109,0.8745098039215686,200,5,0
0.839622641509434,0.8468468468468469,0.8773618538324421,250,5,0
0.7924528301886793,0.8166666666666667,0.8841354723707664,300,5,0
0.8679245283018868,0.875,0.8887700534759359,350,5,0
0.8207547169811321,0.8376068376068376,0.8777183600713012,400,5,0
0.8301886792452831,0.8363636363636363,0.8880570409982176,450,5,0
0.7830188679245284,0.7676767676767676,0.8762923351158646,500,5,0
0.8018867924528302,0.8205128205128205,0.8780748663101605,550,5,0
0.7452830188679245,0.7096774193548387,0.8805704099821746,600,5,0
0.8301886792452831,0.8301886792452831,0.8926916221033868,650,5,0
0.8207547169811321,0.8256880733944955,0.8663101604278074,700,5,0
0.8113207547169812,0.8148148148148148,0.879500891265597,750,5,0
0.8113207547169812,0.8113207547169812,0.8684491978609625,800,5,0
0.7075471698113207,0.6352941176470588,0.8737967914438501,850,5,0
0.8018867924528302,0.8073394495412844,0.8780748663101604,900,5,0
0.8207547169811321,0.8347826086956521,0.8798573975044564,950,5,0
0.8301886792452831,0.8363636363636363,0.8887700534759359,1000,5,0
0.7735849056603774,0.7777777777777778,0.8727272727272727,1050,5,0
0.8207547169811321,0.8256880733944955,0.8787878787878788,1100,5,0
0.8018867924528302,0.8073394495412844,0.8705882352941177,1150,5,0
0.7547169811320755,0.7291666666666666,0.8677361853832442,1200,5,0
0.7169811320754716,0.6590909090909091,0.8727272727272727,1250,5,0
0.8018867924528302,0.8141592920353983,0.8638146167557932,1300,5,0
0.8113207547169812,0.8148148148148148,0.8652406417112299,1350,5,0
0.8207547169811321,0.822429906542056,0.865597147950089,1400,5,0
0.8113207547169812,0.8214285714285714,0.8695187165775402,1450,5,0
0.7830188679245284,0.7722772277227723,0.8812834224598931,1500,5,0
0.8301886792452831,0.8269230769230769,0.8762923351158646,1550,5,0
0.7735849056603774,0.7551020408163265,0.8702317290552584,1600,5,0
0.7924528301886793,0.8166666666666667,0.8691622103386809,1650,5,0
0.7735849056603774,0.7966101694915254,0.8723707664884135,1700,5,0
0.8018867924528302,0.7961165048543689,0.8898395721925133,1750,5,0
0.8018867924528302,0.7961165048543689,0.8723707664884135,1800,5,0
0.8207547169811321,0.819047619047619,0.8830659536541889,1850,5,0
0.8113207547169812,0.8181818181818182,0.8499108734402852,1900,5,0
0.7924528301886793,0.7924528301886793,0.8698752228163993,1950,5,0
0.7830188679245284,0.7964601769911505,0.8409982174688057,2000,5,0
0.8018867924528302,0.8037383177570093,0.8780748663101603,2050,5,0
0.7547169811320755,0.7833333333333333,0.8538324420677361,2100,5,0
0.8018867924528302,0.7920792079207921,0.8791443850267379,2150,5,0
0.7924528301886793,0.8,0.8524064171122995,2200,5,0
0.8113207547169812,0.8076923076923077,0.8677361853832442,2250,5,0
0.7924528301886793,0.7884615384615384,0.8584670231729055,2300,5,0
0.7830188679245284,0.7850467289719626,0.8260249554367202,2350,5,0
0.8018867924528302,0.8,0.8506238859180034,2400,5,0
0.8113207547169812,0.8148148148148148,0.8627450980392156,2450,5,0
0.7641509433962265,0.7863247863247863,0.8424242424242424,2500,5,0
0.4811320754716981,0.0,0.6980392156862745,0,5,1
0.6415094339622641,0.4864864864864865,0.8452762923351158,50,5,1
0.8113207547169812,0.8181818181818182,0.8666666666666667,100,5,1
0.8301886792452831,0.8301886792452831,0.873083778966132,150,5,1
0.8301886792452831,0.8363636363636363,0.8602495543672014,200,5,1
0.8018867924528302,0.8073394495412844,0.8780748663101604,250,5,1
0.7735849056603774,0.7931034482758621,0.8538324420677362,300,5,1
0.7830188679245284,0.8099173553719008,0.8638146167557932,350,5,1
0.7735849056603774,0.7777777777777778,0.8641711229946524,400,5,1
0.8113207547169812,0.8148148148148148,0.8566844919786096,450,5,1
0.7924528301886793,0.8,0.8595365418894829,500,5,1
0.7830188679245284,0.780952380952381,0.84349376114082,550,5,1
0.7735849056603774,0.7692307692307693,0.8506238859180035,600,5,1
0.7735849056603774,0.7894736842105263,0.8427807486631015,650,5,1
0.7735849056603774,0.7818181818181819,0.84349376114082,700,5,1
0.7452830188679245,0.7272727272727273,0.8484848484848485,750,5,1
0.7641509433962265,0.7422680412371134,0.8442067736185384,800,5,1
0.7452830188679245,0.7326732673267327,0.8374331550802139,850,5,1
0.7735849056603774,0.7735849056603774,0.8427807486631016,900,5,1
0.7924528301886793,0.7843137254901961,0.845632798573975,950,5,1
0.7641509433962265,0.7572815533980582,0.8424242424242424,1000,5,1
0.7735849056603774,0.7735849056603774,0.8406417112299466,1050,5,1
0.7735849056603774,0.76,0.8335115864527629,1100,5,1
0.7830188679245284,0.780952380952381,0.8349376114081997,1150,5,1
0.7735849056603774,0.7692307692307693,0.8399286987522281,1200,5,1
0.7924528301886793,0.7884615384615384,0.8402852049910874,1250,5,1
0.7924528301886793,0.7884615384615384,0.8352941176470587,1300,5,1
0.7924528301886793,0.7843137254901961,0.8388591800356505,1350,5,1
0.7641509433962265,0.7663551401869159,0.8199643493761142,1400,5,1
0.7830188679245284,0.780952380952381,0.8206773618538324,1450,5,1
0.7735849056603774,0.7966101694915254,0.8388591800356506,1500,5,1
0.7641509433962265,0.7747747747747747,0.8249554367201426,1550,5,1
0.7075471698113207,0.651685393258427,0.8324420677361853,1600,5,1
0.7547169811320755,0.7450980392156863,0.8224598930481285,1650,5,1
0.7830188679245284,0.7889908256880734,0.8385026737967914,1700,5,1
